,ave_household_size,median_income,rental_vacancy_rate,p_units_1_detached,p_units_1,p_units_2,p_units_34,p_units_59,p_units_10,p_units_20,p_built_2014,p_built_2010,p_built_2000,p_built_1990,p_built_1980,p_built_1970,p_built_1960,p_built_1950,p_built_1940,p_built_1930,median_rooms,median_rent,median-value
28246,2.82,43125.0,6.7,86.5,0.0,8.8,2.4,0.9,0.0,0.0,0.0,4.1,0.9,2.4,4.3,17.8,13.1,7.3,11.8,38.3,5.3,725.0,104000.0
28247,2.45,24271.0,19.0,48.6,0.0,0.0,0.0,28.4,0.0,0.0,0.0,0.0,0.0,26.1,45.0,20.3,0.0,8.6,0.0,0.0,5.6,274.0,59400.0
28249,2.29,27206.0,4.2,58.2,2.7,2.3,6.4,15.7,5.4,4.8,0.0,0.0,2.4,5.4,12.2,20.2,14.7,13.1,10.7,21.3,5.2,473.0,104600.0
28250,2.34,43918.0,21.1,82.7,0.7,3.2,10.2,2.2,0.0,0.0,0.0,0.2,5.4,4.2,10.8,19.4,5.8,15.2,9.9,29.2,5.9,649.0,97300.0
28252,2.54,34091.0,12.0,78.9,0.0,0.0,5.6,1.9,0.0,0.0,0.0,1.2,0.9,5.9,19.3,10.2,4.0,2.8,5.0,50.6,5.8,711.0,60000.0
28253,2.39,34306.0,15.7,69.8,0.0,0.0,5.1,1.6,6.7,0.0,0.0,0.0,10.0,8.2,9.1,22.0,14.2,10.2,17.6,8.7,5.6,546.0,81500.0
28254,2.29,48475.0,8.2,79.1,4.0,2.9,4.4,3.9,1.4,3.4,0.0,0.5,1.8,4.0,4.9,11.3,14.3,30.1,20.3,12.7,6.0,717.0,111900.0
28256,2.21,47941.0,15.8,74.0,1.1,2.7,2.4,2.2,1.1,2.4,0.0,1.2,1.0,5.1,14.5,18.1,10.4,20.7,6.5,22.6,5.9,611.0,107200.0
28257,2.59,39450.0,14.0,78.2,0.5,3.7,2.5,4.7,2.0,2.8,0.0,0.7,2.8,6.9,5.4,11.1,3.7,5.8,8.7,55.0,5.8,535.0,59900.0
28262,2.61,60640.0,14.9,78.2,0.6,1.6,1.1,1.6,0.0,0.5,0.0,6.7,27.9,16.5,12.2,17.3,6.8,1.5,10.2,1.0,6.4,775.0,185300.0
28263,2.6,72143.0,0.0,97.2,0.4,0.7,0.0,0.0,0.0,0.0,0.0,1.7,15.0,32.4,7.7,15.2,18.0,8.9,1.0,0.0,6.0,1317.0,177400.0
28264,2.8,37543.0,0.0,54.2,9.1,0.0,0.0,0.0,0.0,0.0,0.0,2.9,17.5,9.1,34.2,0.0,16.7,9.5,0.0,10.2,5.2,875.0,153900.0
28266,2.6,55750.0,3.8,78.1,1.7,2.8,3.3,8.6,0.0,0.0,0.5,0.4,1.9,7.0,6.0,19.8,11.3,10.6,15.4,27.0,6.1,572.0,105000.0
28268,2.48,51098.0,0.0,62.3,6.1,1.1,0.0,3.9,0.0,0.0,0.0,0.0,16.8,16.2,9.5,23.5,11.4,13.6,4.8,4.3,5.8,690.0,105400.0
28269,2.68,32386.0,0.0,78.1,0.0,3.7,3.7,3.0,0.9,1.9,0.0,0.0,0.6,3.1,8.3,13.2,8.6,13.9,6.2,46.2,6.3,553.0,72600.0
28270,2.6,36731.0,8.3,75.5,0.0,0.9,2.3,0.0,8.4,5.9,0.0,0.0,1.4,0.0,13.2,3.6,16.4,12.0,13.2,40.2,5.1,375.0,81900.0
28271,2.47,20750.0,0.0,59.1,0.0,6.8,0.0,19.3,0.0,8.0,0.0,0.0,0.0,10.2,18.2,8.0,4.5,11.4,6.8,40.9,5.6,263.0,46700.0
28272,2.48,26693.0,0.0,79.0,0.0,1.9,9.1,6.4,1.0,0.0,0.0,0.0,1.9,1.2,17.0,8.8,17.9,15.5,19.6,18.1,5.5,729.0,55100.0
28273,2.21,50885.0,10.0,71.6,2.7,5.4,6.7,5.3,4.2,3.5,0.5,0.2,3.3,3.8,5.4,12.9,12.4,27.7,23.7,10.1,6.1,665.0,119000.0
28275,2.11,25337.0,3.2,73.9,0.4,6.4,6.8,1.2,0.3,8.1,1.4,0.0,1.3,4.9,11.1,14.1,12.0,10.0,12.9,32.3,5.8,457.0,76000.0
28278,2.46,45000.0,2.0,55.6,2.0,4.7,4.6,19.2,6.1,1.7,0.7,1.4,16.0,17.6,7.6,13.0,9.6,11.5,5.5,17.0,4.7,749.0,156900.0
28280,2.12,45536.0,7.7,79.0,2.2,2.2,4.5,0.6,0.0,0.0,0.0,1.6,5.6,10.8,19.7,9.4,9.2,22.2,8.6,12.9,5.4,883.0,87700.0
28281,1.93,34417.0,0.0,64.8,0.0,0.0,3.4,2.7,0.0,13.5,0.0,0.0,6.6,15.4,21.4,21.4,9.6,8.0,5.4,12.3,5.3,360.0,114500.0
28282,2.78,39808.0,8.0,72.0,0.0,2.5,0.7,8.5,1.9,3.4,0.0,0.0,4.1,6.3,6.9,10.4,15.2,16.6,7.1,33.5,5.4,517.0,72200.0
28285,2.67,79722.0,10.1,75.0,6.8,0.1,1.7,7.9,1.8,2.9,1.3,4.8,15.6,26.8,23.1,13.9,8.6,4.3,0.0,1.6,6.9,941.0,215700.0
28286,2.55,35417.0,15.6,67.5,1.9,1.0,3.7,6.1,0.0,0.0,0.0,1.1,4.1,8.8,14.2,18.8,7.6,7.2,7.4,30.8,5.4,523.0,63800.0
28287,2.24,37917.0,28.2,77.8,3.7,4.3,0.0,8.2,0.0,0.6,0.0,0.0,3.1,8.2,9.1,17.9,9.4,5.4,8.2,38.6,6.2,525.0,89200.0
28291,2.26,44750.0,14.1,58.2,0.0,1.9,10.6,3.8,1.2,0.0,2.6,1.7,3.4,11.8,12.5,7.0,12.5,3.6,20.0,25.0,5.1,781.0,60000.0
28294,1.78,28611.0,13.5,82.0,0.0,1.2,0.0,0.9,4.0,0.0,0.0,0.0,5.0,11.5,9.9,20.4,13.0,11.5,8.4,20.4,5.6,405.0,107600.0
28296,2.37,35682.0,8.2,83.9,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.9,3.7,2.5,19.9,8.1,7.5,16.8,39.8,5.1,646.0,80900.0
28300,2.22,45575.0,5.0,85.1,0.4,3.2,2.6,3.4,1.0,3.6,0.2,0.0,1.8,10.2,8.1,18.4,16.7,28.2,5.8,10.7,6.3,609.0,126800.0
28303,2.37,24375.0,5.9,71.9,1.4,2.9,2.9,0.7,0.0,0.0,0.0,0.7,4.5,2.1,5.7,12.1,16.2,18.3,19.8,20.5,5.4,520.0,37500.0
28304,2.16,45313.0,18.9,74.8,3.1,1.5,13.0,2.3,3.8,0.0,0.0,0.0,18.3,13.0,8.4,15.3,4.6,10.7,5.3,24.4,5.8,491.0,150000.0
28305,2.63,62731.0,0.0,90.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,11.7,19.3,14.8,21.3,4.3,7.6,14.3,5.9,733.0,153000.0
28307,2.26,20000.0,5.2,60.3,0.4,3.5,2.8,2.6,0.0,9.0,0.0,1.3,0.0,8.5,21.5,13.5,10.9,14.4,19.7,10.3,5.0,522.0,76100.0
28308,2.27,45058.0,4.4,77.0,2.6,4.6,5.2,2.2,4.3,3.4,0.3,0.5,2.8,4.2,4.6,13.1,16.1,34.0,13.1,11.4,5.7,673.0,91500.0
28310,2.06,37396.0,12.6,67.0,6.7,10.9,2.6,11.7,0.0,1.1,0.0,0.0,0.0,2.8,0.1,9.2,14.7,19.1,17.3,36.8,5.3,584.0,82300.0
28311,2.57,21146.0,10.1,68.4,0.0,0.0,1.5,0.0,0.0,9.8,0.0,0.6,0.0,21.8,9.2,24.2,0.9,14.4,13.8,15.0,5.1,525.0,85600.0
28312,2.29,50000.0,15.9,69.0,1.8,6.1,6.7,8.2,2.0,0.0,0.0,0.9,2.0,7.3,10.8,16.4,7.9,5.3,14.0,35.4,5.4,588.0,106700.0
28313,2.58,52188.0,37.6,91.0,0.0,1.9,3.4,0.0,0.0,0.0,0.0,2.6,3.7,8.2,0.4,1.5,11.2,13.5,22.8,36.0,5.9,636.0,83100.0
28314,2.61,57143.0,0.0,93.1,1.0,0.0,5.2,0.0,0.0,0.0,0.0,2.1,6.9,26.8,4.8,18.2,13.1,9.3,3.8,15.1,5.7,821.0,89700.0
28315,2.35,34592.0,0.0,75.7,1.0,0.7,6.1,4.5,1.4,7.6,0.0,0.0,3.6,4.5,8.2,18.2,5.1,12.7,10.0,37.9,5.7,625.0,73800.0
