,poverty,ave_household_size,p_highschool_plus,p_bachelors_plus,p_native_born,p_unemployed,p_occ_business_science_art,p_occ_service,p_occ_sales_office,p_occ_resources_construction,p_occ_production_transport,med_household_income,mean_household_income,p_household_owner_occupied,p_household_renter_occupied,p_grapi_15,p_grapi_15-19.9,p_grapi_20-24.9,p_grapi_25-29.9,p_grapi_30-34.9,p_grapi_35,total_pop,p_race_white,p_race_black,p_race_am_indian,p_race_asian,p_race_nat_hawaiian_pac_islander,p_race_other,p_race_hispanic
23423,1.0,2.56,86.1,16.1,98.5,18.6,33.3,24.8,22.6,5.9,13.5,31273.0,46823.0,52.3,47.7,14.9,4.4,14.5,6.5,9.2,50.4,8960,40.6,62.9,0.1,0.3,0.2,1.5,2.2
23424,1.0,3.17,75.0,1.3,100.0,22.6,11.3,40.6,27.4,0.0,20.8,23056.0,25404.0,71.6,28.4,0.0,12.0,0.0,0.0,0.0,88.0,368,6.5,98.9,0.0,0.0,0.0,0.0,0.0
23425,0.0,2.93,88.5,24.6,92.1,8.8,44.5,13.0,19.4,10.0,13.0,57750.0,93915.0,78.1,21.9,0.0,37.5,46.9,6.3,0.0,9.4,630,89.8,1.0,0.5,0.0,0.0,9.2,10.2
23426,0.0,1.67,88.7,12.0,97.1,0.0,6.0,34.0,15.0,18.0,27.0,36193.0,40531.0,84.8,15.2,0.0,0.0,100.0,0.0,0.0,0.0,175,97.1,0.0,2.9,0.0,0.0,0.0,0.0
23427,1.0,2.5,71.6,7.6,100.0,18.3,30.7,15.3,21.9,12.6,19.5,35120.0,43193.0,66.0,34.0,10.6,2.5,9.5,28.5,8.9,39.9,2730,91.4,8.0,0.6,0.0,0.0,0.0,0.0
23428,0.0,2.66,79.9,23.0,98.3,2.0,34.4,7.1,35.0,8.3,15.2,60368.0,68687.0,80.9,19.1,5.9,56.1,6.3,3.0,2.1,26.6,3314,66.6,35.8,0.0,0.0,0.0,1.2,1.9
23429,0.0,2.83,91.3,26.3,93.9,6.6,36.5,17.6,24.4,10.0,11.6,64204.0,76184.0,68.0,32.0,8.8,12.6,15.1,11.3,7.2,45.0,41040,72.7,22.3,1.1,5.5,0.1,3.1,8.2
23432,1.0,2.95,76.2,9.7,95.4,18.3,26.8,19.4,17.2,14.6,22.0,34327.0,53898.0,53.3,46.7,9.7,17.1,12.6,16.4,0.0,44.2,3348,63.5,38.1,0.0,0.0,0.0,0.4,11.1
23433,0.0,2.73,68.0,9.2,95.8,10.8,16.1,16.7,25.1,7.9,34.2,43523.0,46004.0,73.5,26.5,30.0,23.3,0.0,15.0,3.3,28.3,784,46.6,50.1,0.8,0.0,0.0,4.1,7.8
23434,1.0,2.97,77.8,16.4,99.2,6.5,19.8,23.8,18.9,9.0,28.5,35184.0,43640.0,65.1,34.9,10.6,11.6,31.3,7.1,1.5,37.9,2145,65.8,36.9,0.0,0.0,0.0,0.0,1.3
23435,1.0,2.36,90.8,6.7,99.7,13.0,29.9,17.3,18.1,9.4,25.2,25357.0,53984.0,74.1,25.9,44.0,0.0,4.0,0.0,12.0,40.0,383,26.4,72.6,1.3,0.0,0.0,2.1,5.5
23436,0.0,2.13,89.0,46.6,93.3,5.4,47.6,17.3,22.4,3.3,9.4,48984.0,80016.0,42.8,57.2,15.6,13.0,13.2,12.0,10.1,36.1,64061,70.3,26.5,0.6,2.9,0.1,1.4,5.2
23437,1.0,2.47,76.3,19.7,92.9,10.3,19.4,21.0,26.0,5.7,28.0,30273.0,42271.0,46.8,53.2,9.1,8.8,9.1,9.8,13.3,49.9,23148,51.6,44.3,0.1,1.6,0.0,3.9,11.0
23438,0.0,2.58,85.0,33.1,85.2,4.3,37.8,16.3,22.2,9.6,14.1,51913.0,66601.0,58.4,41.6,17.7,11.5,14.1,14.1,7.8,34.9,28587,73.5,20.1,1.0,5.2,0.0,2.7,14.5
23439,0.0,2.09,82.4,16.1,96.2,9.0,36.4,24.7,18.6,8.8,11.5,31316.0,44397.0,70.3,29.7,5.7,12.8,49.8,0.0,4.9,26.8,2633,58.9,35.0,0.9,2.2,1.6,2.2,1.6
23440,0.0,2.67,90.4,29.3,89.9,4.3,35.0,16.1,27.2,11.6,10.1,61221.0,75676.0,60.6,39.4,11.9,14.2,15.8,6.9,13.4,37.8,21729,77.2,16.1,1.5,6.1,0.0,2.8,8.4
23441,1.0,2.67,83.6,37.0,89.5,7.0,27.9,24.9,28.3,13.9,5.1,52705.0,69594.0,61.3,38.7,15.7,3.6,10.0,9.0,6.0,55.6,5084,68.6,27.0,0.6,3.5,0.3,3.8,14.7
23442,1.0,2.71,86.6,11.1,99.8,15.6,23.9,26.7,20.8,13.3,15.3,32386.0,42514.0,61.4,38.6,2.5,17.5,6.3,6.3,2.5,65.0,815,74.1,24.0,1.6,1.1,0.5,0.4,0.9
23443,1.0,2.24,82.7,31.6,97.9,16.1,42.3,19.5,17.9,3.8,16.5,28070.0,51019.0,44.7,55.3,17.3,3.7,12.7,15.9,7.3,43.2,7694,49.0,50.0,0.9,0.7,0.0,0.3,1.0
23444,1.0,2.74,73.5,10.8,99.6,16.5,22.7,33.7,25.4,4.9,13.3,30750.0,42394.0,74.8,25.2,3.4,8.6,8.6,5.2,15.5,58.6,684,51.8,45.8,0.0,0.0,0.0,2.9,0.0
23445,1.0,2.49,89.0,24.7,99.0,10.3,23.0,8.6,53.4,2.3,12.6,40982.0,53657.0,72.1,27.9,0.0,5.5,27.3,18.2,0.0,49.1,491,59.1,40.9,0.0,0.4,0.0,0.0,0.0
23446,0.0,2.8,73.9,13.5,99.6,6.8,19.6,20.8,21.2,4.5,33.9,53750.0,62770.0,92.3,7.7,33.3,0.0,0.0,0.0,16.7,50.0,509,68.0,32.6,0.0,0.0,0.0,0.8,0.8
23447,1.0,2.3,70.1,4.8,100.0,9.1,18.9,14.7,30.5,13.7,22.1,35556.0,44710.0,79.0,21.0,41.7,16.7,0.0,29.2,0.0,12.5,428,96.0,4.7,1.4,0.0,0.0,0.0,0.5
23448,0.0,2.34,93.6,52.0,87.2,4.5,38.6,21.6,23.0,11.5,5.3,72569.0,113307.0,76.6,23.4,12.9,11.1,17.3,8.7,7.8,42.3,39666,86.7,7.4,0.6,1.6,0.1,5.4,12.7
